account_id,client_id,account_type,opened_date,status
2001,1001,Interactive Brokers Japanese Brokerage,2024-02-26,Open
2002,1001,Swissquote Trading Account,2021-08-12,Open
2003,1001,Questrade Cash Account,2024-10-11,Open
2004,1002,Interactive Brokers Japanese Brokerage,2018-08-07,Open
2005,1002,Vanguard Brokerage,2023-09-11,Open
2006,1002,E*TRADE Brokerage,2018-03-13,Open
2007,1003,Interactive Brokers Japanese Brokerage,2023-12-13,Open
2008,1004,Schwab One Brokerage,2018-04-25,Open
2009,1004,Questrade Cash Account,2018-08-11,Open
2010,1004,Robinhood Individual,2019-06-24,Closed
2011,1005,Questrade Cash Account,2020-02-03,Open
2012,1006,Swissquote Trading Account,2018-08-02,Closed
2013,1006,Robinhood Individual,2024-10-26,Open
2014,1007,E*TRADE Brokerage,2025-07-24,Open
2015,1008,Robinhood Individual,2021-05-20,Open
2016,1008,Schwab One Brokerage,2021-09-29,Open
2017,1008,The Fidelity Account,2021-05-10,Open
2018,1009,The Fidelity Account,2020-08-17,Open
2019,1009,Robinhood Individual,2021-03-26,Open
2020,1010,Saxo Individual Singapore Account,2018-12-25,Open
2021,1010,Vanguard Brokerage,2018-01-18,Open
2022,1010,Interactive Brokers Japanese Brokerage,2023-12-24,Closed
2023,1011,Vanguard Brokerage,2021-06-19,Open
2024,1011,Interactive Brokers Japanese Brokerage,2024-12-27,Open
2025,1012,Schwab One Brokerage,2018-05-18,Closed
2026,1012,E*TRADE Brokerage,2025-01-15,Open
2027,1013,Vanguard Brokerage,2020-12-20,Closed
2028,1013,Schwab One Brokerage,2022-03-05,Open
2029,1014,Robinhood Individual,2020-05-28,Open
2030,1015,Questrade Cash Account,2024-06-26,Open
2031,1016,The Fidelity Account,2023-01-13,Open
2032,1016,Interactive Brokers Japanese Brokerage,2020-05-03,Closed
2033,1017,Swissquote Trading Account,2025-09-09,Closed
2034,1018,Webull Cash Brokerage,2021-03-02,Open
2035,1018,Saxo Individual Singapore Account,2024-10-27,Open
2036,1019,Schwab One Brokerage,2018-04-04,Open
2037,1019,Webull Cash Brokerage,2019-04-19,Open
2038,1020,Vanguard Brokerage,2019-10-29,Open
2039,1021,Interactive Brokers Japanese Brokerage,2024-03-13,Open
2040,1022,Webull Cash Brokerage,2024-08-12,Open
2041,1023,Robinhood Individual,2025-01-18,Open
2042,1023,Webull Cash Brokerage,2020-06-13,Open
2043,1024,Robinhood Individual,2023-04-06,Open
2044,1024,E*TRADE Brokerage,2020-06-22,Open
2045,1025,The Fidelity Account,2025-05-12,Open
2046,1026,Schwab One Brokerage,2026-01-05,Open
2047,1026,Webull Cash Brokerage,2025-03-13,Open
2048,1027,E*TRADE Brokerage,2023-12-27,Open
2049,1027,Vanguard Brokerage,2026-01-07,Open
2050,1027,Questrade Cash Account,2019-10-20,Open
2051,1028,Swissquote Trading Account,2025-04-05,Open
2052,1028,Webull Cash Brokerage,2019-03-05,Open
2053,1029,The Fidelity Account,2018-05-07,Open
