assessment_id,client_id,profile_name,risk_score,assessment_date,method
1,1001,Moderately Conservative,38,2024-10-19,Questionnaire
2,1002,Aggressive,98,2025-11-12,Advisor Interview
3,1003,Moderately Conservative,37,2025-06-07,Online Form
4,1004,Moderately Conservative,29,2025-12-20,Questionnaire
5,1005,Growth,70,2025-06-15,Advisor Interview
6,1006,Moderately Conservative,24,2025-09-23,Advisor Interview
7,1007,Growth,71,2025-09-29,Advisor Interview
8,1008,Balanced,50,2025-09-21,Questionnaire
9,1009,Conservative,20,2025-06-23,Online Form
10,1010,Aggressive,94,2024-12-16,Online Form
11,1011,Balanced,49,2025-08-31,Advisor Interview
12,1012,Moderately Conservative,28,2025-09-29,Advisor Interview
13,1013,Conservative,10,2024-12-17,Advisor Interview
14,1014,Growth,80,2024-09-02,Questionnaire
15,1015,Growth,66,2024-11-02,Online Form
16,1016,Aggressive,88,2025-07-19,Online Form
17,1017,Moderately Conservative,34,2024-05-27,Advisor Interview
18,1018,Aggressive,83,2025-07-05,Online Form
19,1019,Growth,68,2025-08-15,Advisor Interview
20,1020,Balanced,52,2025-07-11,Questionnaire
21,1021,Conservative,8,2025-04-28,Questionnaire
22,1022,Conservative,17,2026-02-26,Advisor Interview
23,1023,Conservative,14,2025-11-23,Online Form
24,1024,Balanced,58,2025-05-21,Online Form
25,1025,Balanced,57,2025-04-25,Advisor Interview
26,1026,Aggressive,89,2024-10-10,Online Form
27,1027,Growth,62,2024-06-16,Questionnaire
28,1028,Balanced,41,2025-04-03,Questionnaire
29,1029,Conservative,19,2025-03-16,Questionnaire
30,1030,Growth,68,2024-07-26,Questionnaire
31,1031,Moderately Conservative,23,2025-02-27,Questionnaire
32,1032,Moderately Conservative,36,2025-07-14,Advisor Interview
33,1033,Conservative,16,2025-10-30,Online Form
34,1034,Balanced,56,2024-07-13,Online Form
35,1035,Conservative,1,2026-02-22,Questionnaire
36,1036,Conservative,11,2026-03-29,Questionnaire
37,1037,Conservative,1,2024-08-16,Advisor Interview
38,1038,Moderately Conservative,27,2025-04-19,Advisor Interview
39,1039,Balanced,53,2026-03-27,Advisor Interview
40,1040,Aggressive,100,2025-04-19,Advisor Interview
41,1041,Balanced,47,2025-06-21,Advisor Interview
42,1042,Aggressive,89,2024-10-28,Questionnaire
43,1043,Balanced,42,2025-12-28,Questionnaire
44,1044,Aggressive,96,2025-11-08,Questionnaire
45,1045,Conservative,7,2025-03-15,Advisor Interview
46,1046,Aggressive,99,2024-10-01,Advisor Interview
47,1047,Conservative,9,2025-09-15,Online Form
48,1048,Balanced,60,2025-05-11,Questionnaire
49,1049,Moderately Conservative,24,2025-07-06,Advisor Interview
50,1050,Balanced,48,2024-11-27,Questionnaire
51,1051,Conservative,15,2025-06-19,Online Form
52,1052,Moderately Conservative,31,2024-07-22,Advisor Interview
53,1053,Aggressive,98,2025-07-20,Advisor Interview
54,1054,Moderately Conservative,31,2025-12-10,Online Form
55,1055,Conservative,4,2024-06-17,Questionnaire
56,1056,Balanced,58,2025-12-22,Online Form
57,1057,Aggressive,98,2024-11-09,Questionnaire
58,1058,Growth,66,2026-02-04,Online Form
59,1059,Moderately Conservative,26,2026-01-09,Advisor Interview
60,1060,Balanced,49,2026-03-29,Online Form
61,1061,Moderately Conservative,39,2024-08-10,Advisor Interview
62,1062,Conservative,20,2024-10-03,Online Form
63,1063,Aggressive,93,2024-06-06,Questionnaire
64,1064,Aggressive,95,2025-04-01,Online Form
65,1065,Growth,66,2026-02-19,Questionnaire
66,1066,Moderately Conservative,32,2026-01-07,Advisor Interview
67,1067,Aggressive,81,2024-07-16,Advisor Interview
68,1068,Moderately Conservative,25,2025-02-24,Advisor Interview
69,1069,Conservative,6,2026-01-04,Online Form
70,1070,Moderately Conservative,27,2025-08-26,Questionnaire
71,1071,Moderately Conservative,30,2025-08-24,Online Form
72,1072,Balanced,55,2025-08-04,Advisor Interview
73,1073,Conservative,1,2025-08-25,Questionnaire
74,1074,Moderately Conservative,35,2024-11-05,Online Form
75,1075,Conservative,15,2026-01-11,Advisor Interview
76,1076,Moderately Conservative,31,2026-02-18,Questionnaire
77,1077,Conservative,5,2025-06-02,Online Form
78,1078,Aggressive,100,2026-04-11,Online Form
79,1079,Balanced,60,2024-06-30,Online Form
80,1080,Growth,76,2025-01-25,Questionnaire
81,1081,Balanced,47,2025-09-25,Questionnaire
82,1082,Moderately Conservative,31,2025-07-23,Questionnaire
83,1083,Growth,63,2025-05-09,Questionnaire
84,1084,Aggressive,87,2025-05-03,Online Form
85,1085,Balanced,43,2026-04-25,Online Form
86,1086,Conservative,7,2025-07-01,Questionnaire
87,1087,Balanced,45,2026-02-17,Online Form
88,1088,Conservative,19,2026-02-15,Online Form
89,1089,Growth,68,2024-06-30,Questionnaire
90,1090,Conservative,16,2025-03-20,Advisor Interview
91,1091,Moderately Conservative,29,2024-05-16,Advisor Interview
92,1092,Growth,71,2026-01-01,Online Form
93,1093,Aggressive,96,2025-05-03,Advisor Interview
94,1094,Balanced,56,2025-07-03,Online Form
95,1095,Moderately Conservative,24,2024-11-27,Questionnaire
96,1096,Aggressive,88,2025-08-26,Advisor Interview
